;description;energy;kms;location;make;model;price;title;transmission;year
3378;;gasolina;68790;San Buenaventura - Canta - Lima;honda;odyssey;6800;honda odyssey 2012;automática;2012
3379;;gasolina;47717;Arequipa - Arequipa - Arequipa;honda;accord;6000;honda accord 2014;automática;2014
3380;;gasolina;156998;Barranca - Barranca - Lima;honda;s2000;4000;honda s2000 2001;mecánica;2001
3381;;gasolina;166100;San Borja - Lima - Lima;honda;civic;4300;honda civic 1998;automática;1998
3382;;gasolina;60000;San Isidro - Lima - Lima;honda;pilot;22800;honda pilot 2015;automática (secuencial);2015
3383;;gasolina;98000;San Borja - Lima - Lima;honda;accord;9000;honda accord 2009;mecánica;2009
3384;;gasolina;11000;San Isidro - Lima - Lima;honda;cr-v;25500;honda cr-v 2018;automática (secuencial);2018
3385;;dual;200000;La Molina - Lima - Lima;honda;civic;4200;honda civic 2000;automática;2000
3386;;gasolina;93000;Lince - Lima - Lima;honda;civic;7600;honda civic 2008;automática (secuencial);2008
3387;;gasolina;;San Isidro - Lima - Lima;honda;cr-v;5300;honda cr-v 1999;automática;1999
3388;;gasolina;90000;San Isidro - Lima - Lima;honda;cr-v;13200;honda cr-v 2010;automática;2010
3389;;gasolina;62000;Santiago de Surco - Lima - Lima;honda;accord;10400;honda accord 2011;automática;2011
3390;;gasolina;50000;Miraflores - Lima - Lima;honda;pilot;27000;honda pilot 2015;automática;2015
3391;;dual;;Los Olivos - Lima - Lima;honda;cr-v;;honda cr-v 2011;automática;2011
3392;;gasolina;119347;Trompeteros - Loreto - Loreto;honda;odyssey;6000;honda odyssey 2008;automática;2008
3393;;gasolina;;Piura - Piura - Piura;honda;accord;3000;honda accord 2003;automática;2003
3394;;gasolina;95000;San Borja - Lima - Lima;honda;pilot;15500;honda pilot 2009;automática;2009
3395;;gasolina;;Trujillo - Trujillo - La Libertad;honda;cr-v;4600;honda cr-v 2006;automática;2006
3396;;gasolina;140000;Santiago de Surco - Lima - Lima;honda;accord;8500;honda accord 2007;automática;2007
3397;;gasolina;90000;Santiago de Surco - Lima - Lima;honda;civic;;honda civic 1995;mecánica;1995
3398;;gasolina;114600;Santiago de Surco - Lima - Lima;honda;civic;1;honda civic 1999;automática;1999
3399;;dual;;San Borja - Lima - Lima;honda;civic;4300;honda civic 1997;automática;1997
3400;;gasolina;140000;Jesus Maria - Lima - Lima;honda;crv;11900;honda crv 2009;automática (secuencial);2009
3401;;gasolina;103000;La Molina - Lima - Lima;honda;accord;5800;honda accord 2004;automática;2004
3402;;gasolina;270365;Huaral - Huaral - Lima;honda;partner;4800;honda partner 1999;mecánica;1999
3403;;gasolina;100;Santiago de Surco - Lima - Lima;honda;partner;2900;honda partner 1998;automática;1998
3404;;gasolina;25700;Tumbes - Tumbes - Tumbes;honda;civic coupe;;honda civic coupe 2015;automática (secuencial);2015
3405;;gasolina;42180;Parinari - Loreto - Loreto;honda;cr-v;8800;honda cr-v 2016;automática;2016
3406;;gasolina;;Ilabaya - Jorge Basadre - Tacna;honda;accord coupe;3200;honda accord coupe 2008;automática;2008
3407;;gasolina;67500;La Molina - Lima - Lima;honda;civic;10750;honda civic 2012;mecánica;2012
3408;;gasolina;70000;Pariñas - Talara - Piura;honda;cr-v;;honda cr-v 2010;automática;2010
3409;;gasolina;82000;Miraflores - Lima - Lima;honda;cr-v;10900;honda cr-v 2008;automática (secuencial);2008
3410;;gasolina;105000;La Molina - Lima - Lima;honda;cr-v;9500;honda cr-v 2006;mecánica;2006
3411;;gasolina;120000;Miraflores - Lima - Lima;honda;accord;8900;honda accord 2008;automática;2008
3412;;gasolina;64000;La Molina - Lima - Lima;honda;civic si;16000;honda civic si 2012;mecánica;2012
3413;;gasolina;57800;San Juan de Chacña - Aymaraes - Apurimac;honda;hrv;4500;honda hrv 2007;mecánica;2007
3414;;gasolina;56000;Huarmey - Huarmey - Ancash;honda;hr-v;4500;honda hr-v 2006;mecánica;2006
3415;poco uso en buen estado;gasolina;10500;Callao - Callao - Callao;mazda;2 sport;9800;mazda 2 sport 2014;mecánica;2014
3416;vehículo en excelente estado;gasolina;36000;San Borja - Lima - Lima;mazda;cx-5;16900;mazda cx-5 2015;automática (secuencial);2015
3417;documentos en regla;gasolina;68000;San Isidro - Lima - Lima;mazda;cx-9;16800;mazda cx-9 2013;automática (secuencial);2013
